PID	Name	Username	CPU Percent	Memory Usage (MB)
0	System Idle Process	NT AUTHORITY\SYSTEM	1436.6	0.0078125
4	System	NT AUTHORITY\SYSTEM	53.1	0.140625
172		None	0.0	46.98046875
208	Registry	None	0.0	45.3515625
364	Notion.exe	DIVYANK_FLEX5\divya	2.1	570.22265625
376	conhost.exe	DIVYANK_FLEX5\divya	0.0	10.41015625
724	smss.exe	None	0.0	1.24609375
828	svchost.exe	None	0.0	10.953125
1052	svchost.exe	None	0.0	17.7421875
1076	csrss.exe	None	0.0	5.359375
1080	svchost.exe	None	0.0	9.81640625
1216	svchost.exe	None	0.0	11.0078125
1220	wininit.exe	None	0.0	6.6015625
1228	csrss.exe	None	0.3	9.5234375
1252	brave.exe	DIVYANK_FLEX5\divya	0.0	22.1171875
1324	winlogon.exe	None	0.0	11.44140625
1364	services.exe	None	0.0	22.8515625
1376	LsaIso.exe	None	0.0	2.4921875
1388	lsass.exe	None	0.5	33.3515625
1496	Notion.exe	DIVYANK_FLEX5\divya	6.1	335.25390625
1504	svchost.exe	None	0.0	35.5546875
1512	Code.exe	DIVYANK_FLEX5\divya	0.3	139.87109375
1532	fontdrvhost.exe	None	0.0	9.23828125
1536	fontdrvhost.exe	None	0.0	3.6171875
1576	WINWORD.EXE	DIVYANK_FLEX5\divya	0.1	244.08984375
1680	svchost.exe	None	0.0	17.0703125
1736	svchost.exe	None	0.0	9.30078125
1748	ApplicationFrameHost.exe	DIVYANK_FLEX5\divya	0.0	36.2578125
1772	WUDFHost.exe	None	0.0	8.953125
1852	WUDFHost.exe	None	0.0	6.37109375
1904	svchost.exe	DIVYANK_FLEX5\divya	0.0	25.328125
1908	brave.exe	DIVYANK_FLEX5\divya	0.0	59.3203125
1940	svchost.exe	None	0.0	5.32421875
1956	svchost.exe	None	0.0	10.38671875
1964	svchost.exe	None	0.0	10.6875
2016	msedge.exe	DIVYANK_FLEX5\divya	0.0	6.4765625
2076	svchost.exe	None	0.0	9.41015625
2108	LenovoVantage-(IdeaNotebookAddin).exe	DIVYANK_FLEX5\divya	0.0	7.2421875
2156	svchost.exe	None	0.0	5.83203125
2228	svchost.exe	None	0.0	8.58203125
2248	svchost.exe	None	0.0	8.1875
2260	svchost.exe	None	0.0	8.6875
2288	svchost.exe	None	0.0	6.48046875
2324	dwm.exe	None	7.1	247.921875
2352	msedgewebview2.exe	DIVYANK_FLEX5\divya	0.0	16.59375
2360	svchost.exe	None	0.0	7.1484375
2544	Code.exe	DIVYANK_FLEX5\divya	0.0	17.11328125
2592	svchost.exe	None	0.0	14.1953125
2636	svchost.exe	None	0.0	7.68359375
2676	svchost.exe	None	0.0	9.59375
2760	svchost.exe	None	0.0	11.765625
2876	svchost.exe	None	0.0	17.31640625
2896	svchost.exe	None	0.0	10.37890625
3080	svchost.exe	None	0.0	10.26171875
3168	svchost.exe	None	0.0	24.9140625
3176	svchost.exe	None	0.1	20.30859375
3200	amdfendrsr.exe	None	0.0	7.63671875
3208	atiesrxx.exe	None	0.0	7.2265625
3264	brave.exe	DIVYANK_FLEX5\divya	0.0	7.6796875
3368	Code.exe	DIVYANK_FLEX5\divya	0.0	45.66796875
3584	svchost.exe	None	0.0	6.7109375
3604	svchost.exe	None	0.1	5.89453125
3612	atieclxx.exe	None	0.0	16.58203125
3632	svchost.exe	None	0.0	8.0
3692	Notion.exe	DIVYANK_FLEX5\divya	0.4	129.7578125
3736	svchost.exe	None	0.0	8.60546875
3780	svchost.exe	None	0.0	8.7734375
3924	svchost.exe	None	0.0	14.0625
3960	WTabletServiceISD.exe	None	0.0	8.95703125
4136	svchost.exe	None	0.0	10.62890625
4144	QHActiveDefense.exe	None	3.4	204.27734375
4196	svchost.exe	None	0.0	21.55859375
4220	vpnkit.exe	DIVYANK_FLEX5\divya	0.0	39.73828125
4260	svchost.exe	None	0.0	7.5078125
4376	svchost.exe	None	0.0	23.50390625
4408	wlanext.exe	None	0.0	6.32421875
4416	conhost.exe	None	0.0	9.2109375
4444	svchost.exe	None	0.0	12.29296875
4520	svchost.exe	None	0.0	13.36328125
4528	svchost.exe	None	0.0	47.87109375
4616	svchost.exe	None	0.0	6.984375
